date,value
1928,.3788
1929,-.1191
1930,-.2848
1931,-.4707
1932,-.1515
1933,.4659
1934,-.0594
1935,.4137
1936,.2792
1937,-.3859
1938,.2521
1939,-.0545
1940,-.1529
1941,-.1786
1942,.1243
1943,.1945
1944,.1380
1945,.3072
1946,-.1187
1947,.0000
1948,-.0065
1949,.1026
1950,.2178
1951,.1646
1952,.1178
1953,-.0662
1954,.4502
1955,.2640
1956,.0262
1957,-.1431
1958,.3806
1959,.0848
1960,-.0297
1961,.2313
1962,-.1181
1963,.1889
1964,.1297
1965,.0906
1966,-.1309
1967,.2009
1968,.0766
1969,-.1136
1970,.0010
1971,.1079
1972,.1563
1973,-.1737
1974,-.2972
1975,.3155
1976,.1915
1977,-.1150
1978,.0106
1979,.1231
1980,.2577
1981,-.0973
1982,.1476
1983,.1727
1984,.0140
1985,.2633
1986,.1462
1987,.0203
1988,.1240
1989,.2725
1990,-.0656
1991,.2631
1992,.0446
1993,.0706
1994,-.0154
1995,.3411
1996,.2026
1997,.3101
1998,.2667
1999,.1953
2000,-.1014
2001,-.1304
2002,-.2337
2003,.2638
2004,.0899
2005,.0300
2006,.1362
2007,.0353
2008,-.3849
2009,.2345
2010,.1278
2011,.0000
2012,.1341
2013,.2960
2014,.1139
2015,-.0073
2016,.0954
2017,.1942
2018,-.0624
2019,.2888
